experiment,ranks,rows,cols,steps,total_sec,comm_sec,compute_sec,check
mpi_test,4,256,256,100,0.196338020,0.058199289,0.195186068,PASS
mpi_test,1,1024,1024,100,9.482816609,0.000006189,9.482785387,PASS
strong_1024,1,1024,1024,100,9.485122148,0.000006039,9.485092414,PASS
strong_1024,2,1024,1024,100,4.784354178,0.000281773,4.784042889,PASS
strong_1024,4,1024,1024,100,2.387266607,0.000503479,2.386734711,PASS
strong_1024,8,1024,1024,100,1.229646291,0.024418668,1.229168352,PASS
strong_1024,16,1024,1024,100,0.637831477,0.040393396,0.637441012,PASS
strong_1024,32,1024,1024,100,0.463122828,0.155136354,0.449345348,PASS
weak_256_per_rank,1,256,1024,100,2.374140691,0.000006029,2.374111000,PASS
weak_256_per_rank,2,512,1024,100,2.399792816,0.000250850,2.399508613,PASS
weak_256_per_rank,4,1024,1024,100,2.381635760,0.000538285,2.381346330,PASS
weak_256_per_rank,8,2048,1024,100,2.403066092,0.004351084,2.402438986,PASS
weak_256_per_rank,16,4096,1024,100,2.453739723,0.044878049,2.453091070,PASS
weak_256_per_rank,32,8192,1024,100,2.615672623,0.143580525,2.615106025,PASS
